#Load(N)	Displacement (mm)
0.8	-0.004
1.2	0.003
1.8	0.011
2.3	0.02
2.7	0.027
3.3	0.036
3.8	0.044
4.394	0.053
4.9	0.061
5.4	0.069
5.919	0.077
6.46	0.085
7	0.092
7.5	0.101
8.3	0.111
8.9	0.12
9.3	0.127
10.106	0.137
10.4	0.145
10.887	0.153
11.453	0.161
12.069	0.17
12.8	0.179
13.25	0.187
13.793	0.194
14.233	0.202
14.7	0.209
15.4	0.219
15.9	0.228
16.4	0.236
17.037	0.244
17.7	0.252
18.3	0.26
18.762	0.269
19.2	0.275
19.8	0.285
20.486	0.294
21.1	0.302
21.566	0.31
22.3	0.318
22.75	0.326
23.3	0.334
24	0.344
24.373	0.352
25.012	0.36
25.6	0.369
26.3	0.377
26.637	0.385
27.1	0.391
27.518	0.399
28.3	0.41
29	0.419
29.54	0.428
30.081	0.435
30.6	0.444
31.262	0.451
31.799	0.461
32.393	0.47
32.799	0.477
33.326	0.484
33.799	0.491
34.424	0.502
34.949	0.511
35.299	0.517
35.933	0.526
36.474	0.535
37.026	0.544
37.756	0.554
38.299	0.561
38.799	0.569
39.299	0.576
39.939	0.585
40.499	0.595
40.899	0.601
41.299	0.608
41.999	0.616
42.299	0.627
42.799	0.635
43.299	0.643
43.849	0.653
44.387	0.661
44.831	0.669
45.473	0.678
46.112	0.686
46.453	0.694
46.993	0.701
47.537	0.709
48.174	0.718
48.799	0.727
49.199	0.734
49.699	0.743
50.339	0.754
50.88	0.76
51.424	0.77
51.899	0.779
52.499	0.786
52.946	0.794
53.499	0.801
54.299	0.812
54.668	0.818
54.999	0.824
55.349	0.832
55.992	0.84
56.699	0.85
57.299	0.86
58.012	0.87
58.299	0.878
58.699	0.885
59.399	0.894
59.899	0.903
60.419	0.91
60.799	0.916
61.399	0.926
62.043	0.937
62.399	0.943
62.799	0.951
63.466	0.96
64.199	0.969
64.699	0.977
65.099	0.984
65.83	0.996
66.299	1.002
66.799	1.009
67.299	1.018
67.793	1.027
68.399	1.035
68.699	1.04
69.299	1.049
69.859	1.06
70.599	1.069
71.039	1.077
71.699	1.086
72.224	1.094
72.699	1.1
73.105	1.108
73.745	1.118
74.299	1.127
74.699	1.135
75.268	1.143
75.899	1.151
76.499	1.162
76.992	1.168
77.599	1.178
78.099	1.186
78.412	1.193
78.899	1.201
79.399	1.211
80.236	1.219
80.579	1.225
80.919	1.232
81.361	1.241
82.199	1.25
82.799	1.262
83.299	1.269
83.799	1.279
84.299	1.285
84.705	1.293
85.299	1.304
85.799	1.311
86.299	1.319
86.699	1.326
87.211	1.334
87.799	1.343
88.292	1.35
88.799	1.358
89.374	1.368
90.299	1.378
90.399	1.386
90.899	1.394
91.539	1.403
91.999	1.41
92.524	1.419
93.099	1.428
93.599	1.435
93.892	1.443
94.398	1.449
94.925	1.459
95.498	1.467
96.098	1.476
96.448	1.484
97.198	1.494
97.798	1.502
98.098	1.509
98.512	1.518
98.998	1.527
99.398	1.533
99.798	1.539
100.098	1.545
100.798	1.558
101.398	1.569
102.098	1.577
102.398	1.585
102.798	1.592
103.298	1.599
103.798	1.607
104.298	1.616
104.948	1.628
105.561	1.635
106.198	1.643
106.298	1.649
106.511	1.657
106.798	1.665
107.392	1.674
108.232	1.687
108.798	1.694
109.198	1.702
109.755	1.71
110.298	1.718
110.698	1.726
111.079	1.733
111.698	1.743
112.298	1.751
112.798	1.759
113.298	1.768
113.685	1.775
114.198	1.783
114.398	1.79
114.898	1.8
115.648	1.811
116.091	1.818
116.329	1.825
116.798	1.834
117.511	1.842
117.898	1.848
118.298	1.853
118.798	1.865
119.298	1.875
119.954	1.884
120.558	1.893
121.198	1.902
121.442	1.91
122.079	1.917
122.398	1.928
122.798	1.934
123.298	1.942
123.498	1.947
123.798	1.954
124.298	1.963
124.798	1.972
125.298	1.98
125.851	1.992
126.592	2.002
127.198	2.011
127.573	2.018
127.898	2.026
128.298	2.034
128.798	2.041
129.298	2.051
129.779	2.059
130.298	2.067
130.398	2.072
130.798	2.08
131.198	2.088
131.798	2.096
132.225	2.106
132.798	2.116
133.505	2.127
133.898	2.135
134.198	2.141
134.398	2.148
134.798	2.155
135.298	2.164
135.798	2.174
136.298	2.185
136.798	2.193
137.178	2.198
137.498	2.206
138.098	2.214
138.298	2.222
138.798	2.234
139.298	2.244
139.898	2.253
140.298	2.258
140.498	2.266
140.798	2.272
141.198	2.279
141.698	2.289
142.266	2.3
142.898	2.311
143.298	2.319
143.598	2.325
144.031	2.334
144.373	2.341
144.798	2.348
145.241	2.356
145.698	2.364
146.198	2.373
146.398	2.381
146.998	2.392
147.36	2.4
148.004	2.41
148.398	2.419
148.798	2.426
149.224	2.436
149.598	2.444
149.904	2.451
150.298	2.46
150.698	2.466
150.898	2.472
151.198	2.478
151.711	2.489
152.298	2.5
152.798	2.508
153.298	2.518
153.878	2.526
154.298	2.533
154.398	2.541
154.798	2.548
155.298	2.56
155.798	2.567
156.098	2.573
156.298	2.579
156.698	2.588
157.144	2.597
157.497	2.604
158.029	2.614
158.297	2.623
158.797	2.631
159.297	2.639
159.697	2.648
160.231	2.659
160.797	2.669
161.197	2.676
161.297	2.681
161.597	2.687
161.937	2.697
162.297	2.704
162.697	2.712
163.097	2.721
163.504	2.731
163.854	2.738
164.197	2.747
164.724	2.757
165.097	2.766
165.297	2.772
165.697	2.78
166.084	2.787
166.429	2.797
166.871	2.804
167.297	2.814
167.597	2.821
167.991	2.829
168.297	2.839
168.797	2.847
169.116	2.854
169.497	2.863
170.197	2.873
170.297	2.882
170.297	2.888
170.297	2.896
170.797	2.905
171.197	2.914
171.397	2.921
171.797	2.93
172.297	2.94
172.697	2.948
172.985	2.955
173.297	2.963
173.791	2.972
174.197	2.981
174.372	2.988
174.797	2.996
175.153	3.005
175.497	3.014
175.797	3.021
176.297	3.03
176.697	3.04
176.997	3.047
177.303	3.056
177.797	3.067
178.297	3.074
178.397	3.081
178.697	3.087
178.897	3.096
179.247	3.104
179.79	3.112
180.097	3.122
180.397	3.13
180.797	3.138
180.997	3.147
181.685	3.157
181.997	3.166
182.377	3.175
182.797	3.184
183.097	3.191
183.197	3.196
183.397	3.205
183.797	3.212
184.197	3.222
184.464	3.229
184.797	3.239
185.297	3.247
185.797	3.256
185.828	3.264
186.297	3.271
186.497	3.28
186.897	3.288
187.103	3.296
187.597	3.306
187.797	3.314
188.097	3.32
188.353	3.33
188.797	3.337
189.197	3.346
189.297	3.354
189.797	3.363
190.297	3.374
190.697	3.382
190.797	3.389
190.984	3.396
191.324	3.407
191.797	3.415
191.897	3.421
192.297	3.43
192.797	3.44
192.828	3.447
193.224	3.454
193.697	3.464
193.953	3.474
194.297	3.481
194.397	3.49
194.797	3.499
195.297	3.507
195.397	3.514
195.697	3.522
195.997	3.53
196.278	3.538
196.497	3.546
196.997	3.557
197.297	3.566
197.544	3.571
197.797	3.578
198.297	3.59
198.497	3.597
198.797	3.605
199.15	3.613
199.491	3.623
199.797	3.631
199.997	3.637
200.297	3.646
200.797	3.656
201.097	3.665
201.337	3.674
201.797	3.683
202.097	3.691
202.197	3.697
202.297	3.705
202.597	3.713
202.897	3.721
203.17	3.73
203.597	3.738
203.797	3.747
204.197	3.754
204.297	3.762
204.797	3.773
205.07	3.781
205.397	3.789
205.697	3.797
206.003	3.806
206.297	3.815
206.297	3.82
206.797	3.83
206.997	3.839
207.297	3.845
207.597	3.854
207.897	3.862
208.397	3.874
208.697	3.881
208.897	3.888
209.197	3.897
209.597	3.907
209.828	3.916
210.297	3.925
210.409	3.934
210.597	3.941
210.697	3.945
211.03	3.956
211.297	3.964
211.697	3.971
211.797	3.98
212.197	3.989
212.697	4
212.897	4.006
213.097	4.014
213.297	4.022
213.497	4.03
213.74	4.037
214.097	4.047
214.323	4.057
214.697	4.063
214.703	4.07
215.147	4.081
215.397	4.089
215.597	4.097
215.797	4.103
216.297	4.115
216.797	4.127
216.89	4.133
216.959	4.139
217.097	4.145
217.415	4.154
217.797	4.163
218.097	4.173
218.297	4.182
218.497	4.189
218.597	4.196
218.797	4.205
219.297	4.215
219.697	4.225
219.797	4.231
220.065	4.239
220.296	4.246
220.396	4.254
220.796	4.263
221.096	4.272
221.296	4.28
221.496	4.288
221.796	4.297
222.196	4.306
222.396	4.316
222.534	4.322
222.796	4.33
223.196	4.339
223.296	4.347
