#Load(N)	Displacement (mm)
0.6	-0.479
0.8	-0.465
0.9	-0.449
1	-0.431
1	-0.415
1.1	-0.398
1.294	-0.382
1.3	-0.366
1.4	-0.349
1.5	-0.333
1.8	-0.315
1.9	-0.298
1.912	-0.282
2.031	-0.266
2.4	-0.249
2.4	-0.233
2.6	-0.214
2.9	-0.198
3.3	-0.182
3.862	-0.165
4.4	-0.149
4.8	-0.133
5.4	-0.115
6.2	-0.099
6.473	-0.082
7.207	-0.065
8.937	-0.05
12.037	-0.032
15.2	-0.016
19.225	0.002
22.925	0.019
27.093	0.034
30.8	0.05
35.524	0.068
38.799	0.085
42.699	0.101
47.368	0.119
51.737	0.134
55.999	0.149
60.999	0.165
64.799	0.179
72.766	0.201
78.449	0.218
82.861	0.232
89.999	0.252
93.199	0.263
99.398	0.282
105.818	0.301
111.498	0.318
116.398	0.334
121.317	0.349
124.598	0.362
132.435	0.385
136.398	0.4
140.964	0.415
145.851	0.433
150.398	0.449
154.098	0.464
158.397	0.479
164.797	0.5
169.222	0.517
173.497	0.534
176.197	0.547
180.344	0.564
183.597	0.578
187.097	0.596
190.116	0.614
193.497	0.632
193.897	0.644
198.122	0.662
201.23	0.678
204.497	0.696
206.597	0.713
210.197	0.729
213.747	0.749
214.497	0.762
216.972	0.779
218.917	0.795
221.696	0.813
223.096	0.83
222.396	0.845
223.996	0.863
224.796	0.879
226.621	0.896
228.39	0.912
230.546	0.93
232.436	0.95
227.676	0.966
224.796	0.978
227.603	0.997
227.896	1.01
230.365	1.03
231.996	1.046
232.396	1.062
232.41	1.078
234.296	1.095
236.756	1.112
239.196	1.128
241.284	1.144
243.696	1.162
243.009	1.178
246.371	1.195
248.969	1.211
251.296	1.227
252.496	1.245
252.596	1.262
252.896	1.277
253.977	1.295
254.396	1.31
254.896	1.327
255.396	1.345
255.896	1.361
256.089	1.378
256.796	1.395
257.996	1.411
259.533	1.428
261.715	1.445
262.496	1.461
264.84	1.478
265.796	1.494
267.189	1.511
268.396	1.528
269.796	1.545
270.683	1.562
271.996	1.579
272.496	1.594
273.896	1.611
274.396	1.627
275.296	1.645
276.296	1.661
276.896	1.677
278.046	1.694
278.396	1.711
279.196	1.728
279.596	1.745
280.796	1.762
280.996	1.778
281.352	1.794
281.896	1.812
281.296	1.828
281.396	1.844
281.096	1.861
281.696	1.878
280.896	1.894
281.296	1.911
281.096	1.928
281.396	1.945
281.358	1.961
281.952	1.978
282.296	1.996
282.896	2.014
282.289	2.029
282.396	2.044
283.495	2.062
283.458	2.079
284.014	2.096
283.795	2.111
285.095	2.128
285.495	2.145
286.495	2.161
287.089	2.178
289.495	2.197
288.889	2.212
290.795	2.23
291.42	2.245
292.515	2.262
292.395	2.279
292.389	2.295
292.895	2.311
291.427	2.328
291.245	2.344
290.395	2.361
290.395	2.379
288.895	2.393
289.415	2.413
288.595	2.428
289.752	2.445
289.745	2.463
291.083	2.481
290.37	2.496
291.827	2.514
291.295	2.528
291.495	2.543
293.233	2.562
293.495	2.579
294.877	2.596
294.395	2.612
294.508	2.631
279.496	2.645
259.496	2.664
237.923	2.679
235.723	2.7
234.496	2.716
234.996	2.731
236.534	2.746
240.196	2.765
240.596	2.778
244.463	2.796
247.189	2.814
250.127	2.832
250.096	2.846
252.383	2.862
255.496	2.881
256.021	2.894
259.296	2.912
261.656	2.93
264.59	2.947
265.169	2.962
267.696	2.978
270.296	2.996
271.896	3.012
274.309	3.03
276.296	3.046
277.796	3.061
279.016	3.078
281.496	3.095
283.095	3.112
285.995	3.132
284.895	3.143
287.127	3.163
287.695	3.178
288.762	3.194
290.114	3.213
290.495	3.229
291.958	3.248
292.233	3.263
291.639	3.277
292.595	3.295
293.795	3.312
294.295	3.328
294.395	3.344
295.352	3.361
295.895	3.378
296.895	3.394
297.695	3.411
298.895	3.428
299.695	3.444
300.495	3.461
300.895	3.478
301.583	3.495
301.895	3.511
302.295	3.528
302.395	3.545
302.295	3.562
301.875	3.578
301.395	3.594
301.395	3.612
300.695	3.628
300.795	3.644
299.995	3.662
299.582	3.678
298.395	3.695
296.495	3.711
293.715	3.728
284.545	3.746
265.121	3.763
224.928	3.78
214.834	3.795
213.465	3.811
214.297	3.829
214.73	3.845
217.415	3.864
219.397	3.881
220.396	3.895
223.121	3.912
225.684	3.928
228.521	3.946
230.403	3.962
233.684	3.981
236.77	4
237.096	4.012
239.396	4.027
242.115	4.045
244.696	4.062
247.177	4.079
249.121	4.095
251.143	4.111
253.623	4.128
255.133	4.144
257.489	4.162
258.996	4.177
261.496	4.196
262.196	4.211
263.916	4.228
265.096	4.246
266.896	4.263
267.129	4.279
269.396	4.297
268.558	4.311
270.396	4.329
270.796	4.344
272.496	4.363
273.496	4.379
274.196	4.396
274.996	4.412
275.396	4.428
276.896	4.446
276.896	4.462
278.846	4.48
278.729	4.496
278.496	4.513
278.396	4.529
277.936	4.545
277.896	4.562
276.452	4.577
276.271	4.596
273.076	4.611
271.996	4.628
270.496	4.645
270.096	4.661
269.396	4.678
269.996	4.696
269.296	4.712
271.196	4.732
269.496	4.744
270.549	4.76
271.396	4.779
271.496	4.795
272.582	4.813
272.021	4.828
273.252	4.846
272.733	4.861
273.296	4.879
272.496	4.895
272.396	4.913
271.462	4.929
272.046	4.947
270.627	4.962
271.296	4.979
271.489	4.997
271.746	5.013
271.896	5.029
271.756	5.044
272.821	5.062
272.596	5.078
273.408	5.095
273.564	5.112
274.496	5.128
274.429	5.144
274.996	5.161
275.396	5.178
275.916	5.195
276.158	5.212
276.252	5.228
276.896	5.246
276.296	5.261
277.296	5.279
277.096	5.294
277.342	5.312
275.458	5.328
274.977	5.346
274.096	5.363
273.914	5.38
271.658	5.394
271.396	5.411
271.722	5.429
271.396	5.446
270.989	5.462
270.921	5.478
272.396	5.497
271.996	5.511
273.196	5.529
273.396	5.545
274.296	5.562
274.896	5.578
275.596	5.595
276.496	5.611
277.208	5.628
277.989	5.644
278.471	5.661
279.656	5.678
280.196	5.695
281.196	5.712
281.596	5.727
282.796	5.745
282.664	5.761
283.395	5.778
283.895	5.795
283.995	5.812
284.395	5.829
284.075	5.845
284.333	5.862
284.152	5.878
284.295	5.895
284.502	5.911
285.595	5.927
286.395	5.945
287.395	5.961
287.995	5.978
289.214	5.995
289.895	6.011
290.795	6.027
291.558	6.044
292.142	6.061
292.749	6.078
293.295	6.094
294.095	6.111
293.72	6.127
293.795	6.145
294.395	6.161
294.395	6.178
295.095	6.194
295.395	6.211
295.895	6.227
296.395	6.244
297.127	6.261
297.895	6.278
298.995	6.295
298.895	6.311
299.395	6.328
299.735	6.344
300.295	6.362
300.501	6.378
301.008	6.395
300.695	6.411
300.795	6.428
300.395	6.445
300.495	6.461
300.895	6.479
300.815	6.496
300.758	6.512
301.339	6.527
302.395	6.545
303.001	6.562
303.495	6.578
304.164	6.595
305.102	6.612
305.795	6.629
306.295	6.645
307.895	6.661
307.414	6.678
307.833	6.695
307.395	6.711
307.895	6.729
307.902	6.745
308.095	6.76
308.395	6.777
307.295	6.794
306.495	6.811
305.295	6.828
303.895	6.844
302.395	6.861
300.795	6.879
298.895	6.894
298.133	6.912
295.383	6.928
294.395	6.945
293.395	6.962
291.695	6.979
289.495	6.996
287.755	7.013
286.395	7.028
285.809	7.045
285.764	7.063
286.145	7.08
285.495	7.095
285.682	7.112
286.395	7.131
285.715	7.145
285.855	7.163
285.495	7.179
287.095	7.198
286.395	7.212
287.395	7.231
288.364	7.25
287.182	7.261
288.895	7.28
288.777	7.295
289.895	7.313
290.595	7.33
290.858	7.346
291.395	7.361
292.995	7.381
291.715	7.394
292.502	7.412
293.069	7.428
293.895	7.447
293.233	7.461
294.395	7.48
294.395	7.495
294.833	7.512
296.295	7.529
295.395	7.545
296.295	7.564
296.895	7.581
296.389	7.595
297.545	7.611
299.895	7.631
298.935	7.645
301.395	7.664
301.201	7.679
302.795	7.697
301.958	7.712
300.345	7.73
298.895	7.747
298.269	7.765
295.089	7.778
294.715	7.795
294.295	7.814
291.552	7.829
289.895	7.845
289.295	7.862
289.308	7.881
287.295	7.894
286.495	7.912
285.395	7.929
284.277	7.946
282.396	7.963
280.596	7.978
276.996	7.996
271.696	8.011
265.896	8.028
259.083	8.045
255.909	8.063
252.249	8.078
250.696	8.094
249.159	8.111
248.277	8.129
247.896	8.143
248.096	8.161
249.163	8.179
249.843	8.194
251.127	8.212
251.996	8.228
253.696	8.246
254.396	8.261
256.296	8.277
258.036	8.294
260.216	8.311
261.596	8.329
262.896	8.344
264.533	8.362
265.846	8.378
267.027	8.395
268.309	8.41
270.183	8.429
270.996	8.444
272.496	8.461
273.796	8.478
275.196	8.494
276.696	8.512
278.296	8.527
279.964	8.545
281.749	8.56
283.929	8.578
285.395	8.595
287.095	8.611
288.895	8.627
291.295	8.645
292.395	8.66
294.122	8.678
295.009	8.695
296.795	8.711
297.895	8.728
298.895	8.745
300.195	8.762
301.295	8.778
302.395	8.794
302.895	8.811
303.495	8.827
304.195	8.845
304.195	8.861
304.395	8.878
304.495	8.894
305.12	8.911
305.295	8.929
305.595	8.945
305.695	8.961
306.089	8.978
305.408	8.995
305.595	9.011
306.595	9.028
307.895	9.044
309.408	9.061
309.995	9.078
310.895	9.094
311.855	9.11
312.895	9.128
312.27	9.144
311.683	9.161
309.92	9.178
273.764	9.194
237.346	9.212
230.496	9.229
227.683	9.244
226.396	9.262
225.896	9.278
225.896	9.295
225.94	9.311
226.396	9.33
225.603	9.345
225.396	9.362
223.396	9.379
222.143	9.394
221.621	9.411
219.659	9.428
217.897	9.446
214.815	9.462
211.972	9.479
207.85	9.496
203.39	9.515
194.284	9.527
182.537	9.545
170.922	9.562
162.597	9.581
155.798	9.596
151.098	9.612
147.398	9.631
140.824	9.645
137.564	9.663
134.798	9.678
133.798	9.7
131.898	9.713
132.298	9.731
132.373	9.748
132.398	9.764
132.398	9.78
133.898	9.8
134.398	9.818
134.398	9.831
134.898	9.847
135.648	9.862
138.198	9.884
138.498	9.898
139.698	9.914
140.658	9.929
143.498	9.951
144.398	9.966
145.498	9.982
147.398	10
148.898	10.017
150.398	10.034
151.698	10.049
152.698	10.063
154.398	10.078
156.898	10.099
159.097	10.118
159.835	10.132
160.597	10.146
163.024	10.163
164.522	10.179
166.397	10.199
166.997	10.213
168.854	10.23
171.172	10.25
169.817	10.263
170.597	10.281
172.797	10.298
174.264	10.314
175.547	10.329
177.828	10.347
178.91	10.361
181.597	10.379
182.797	10.394
185.797	10.414
187.177	10.43
190.122	10.45
191.397	10.465
192.097	10.479
194.597	10.497
197.047	10.515
198.397	10.532
199.397	10.547
200.897	10.562
202.757	10.579
205.159	10.597
206.34	10.613
209.322	10.634
209.503	10.648
209.797	10.66
212.07	10.679
213.597	10.695
215.297	10.713
216.915	10.73
217.597	10.746
218.797	10.762
217.597	10.779
218.643	10.794
220.223	10.813
220.896	10.829
221.99	10.845
222.396	10.862
223.396	10.879
223.834	10.895
224.416	10.911
225.296	10.928
225.896	10.948
225.13	10.963
225.296	10.979
225.596	10.996
225.396	11.012
225.896	11.029
226.371	11.046
226.696	11.064
226.496	11.079
226.396	11.095
226.296	11.111
224.696	11.129
223.896	11.144
224.096	11.162
224.396	11.178
225.183	11.195
225.496	11.211
226.496	11.228
227.259	11.246
227.653	11.262
228.296	11.278
228.996	11.295
229.296	11.311
230.296	11.328
230.45	11.344
231.396	11.362
231.796	11.378
232.396	11.394
233.159	11.411
233.959	11.427
234.696	11.445
235.023	11.461
235.909	11.478
235.99	11.495
236.496	11.511
236.796	11.528
237.434	11.545
237.916	11.562
238.296	11.577
238.883	11.595
239.396	11.611
239.596	11.628
239.896	11.645
240.496	11.662
240.79	11.677
241.396	11.695
241.056	11.711
241.096	11.729
240.396	11.745
239.796	11.762
239.196	11.778
238.127	11.795
237.296	11.811
235.696	11.828
234.996	11.845
234.396	11.862
235.196	11.879
234.296	11.894
235.496	11.911
235.896	11.928
236.896	11.945
237.884	11.962
239.596	11.98
239.803	11.996
241.196	12.013
241.896	12.029
242.796	12.044
244.296	12.061
245.596	12.08
246.396	12.096
246.796	12.11
248.903	12.13
249.089	12.145
250.396	12.161
251.452	12.179
253.196	12.197
253.196	12.212
254.896	12.23
255.477	12.246
256.429	12.261
257.896	12.279
258.896	12.295
260.421	12.313
260.702	12.328
262.171	12.346
262.552	12.362
263.896	12.379
264.296	12.395
265.396	12.412
265.396	12.428
266.396	12.445
266.496	12.461
267.496	12.479
267.909	12.497
268.896	12.513
269.396	12.529
270.296	12.545
271.539	12.562
273.021	12.578
274.496	12.595
275.883	12.612
278.396	12.629
278.596	12.644
280.562	12.66
282.296	12.678
284.295	12.696
286.258	12.713
287.095	12.728
288.914	12.746
289.942	12.762
291.302	12.779
293.089	12.795
294.395	12.812
295.308	12.827
296.495	12.844
297.595	12.861
298.695	12.876
298.477	12.895
299.395	12.91
300.042	12.928
301.564	12.945
301.895	12.961
303.389	12.977
304.095	12.995
305.251	13.011
306.395	13.028
307.915	13.044
309.795	13.061
309.882	13.078
311.064	13.094
311.895	13.111
312.926	13.128
314.295	13.145
314.395	13.159
316.395	13.178
316.855	13.194
318.495	13.211
320.12	13.227
320.507	13.244
321.87	13.262
322.395	13.278
323.702	13.294
325.328	13.311
325.395	13.328
325.895	13.344
326.214	13.362
326.395	13.378
327.495	13.394
327.221	13.411
328.595	13.427
329.395	13.445
330.195	13.461
331.295	13.479
330.395	13.494
330.795	13.51
330.295	13.528
329.976	13.544
328.795	13.562
326.901	13.577
323.532	13.594
320.895	13.611
318.901	13.628
317.52	13.645
315.539	13.661
314.595	13.677
314.695	13.695
315.195	13.711
316.395	13.727
317.695	13.745
318.895	13.761
320.126	13.778
321.422	13.794
322.595	13.809
323.895	13.828
325.055	13.844
326.395	13.861
327.52	13.878
328.801	13.894
330.282	13.911
331.495	13.928
332.895	13.944
334.395	13.96
335.895	13.978
336.895	13.994
337.876	14.011
338.495	14.027
339.595	14.044
340.395	14.061
341.201	14.078
340.508	14.094
340.395	14.111
341.651	14.129
341.932	14.144
342.913	14.16
342.795	14.178
343.995	14.194
344.161	14.211
344.795	14.228
344.263	14.244
342.882	14.261
339.795	14.278
336.795	14.295
335.295	14.311
334.995	14.328
335.315	14.344
336.195	14.361
337.781	14.379
338.261	14.394
339.995	14.41
340.895	14.428
342.395	14.445
342.488	14.461
343.895	14.478
343.995	14.495
344.395	14.51
343.895	14.528
343.701	14.545
342.507	14.561
341.788	14.578
341.695	14.594
338.328	14.611
339.395	14.628
339.895	14.644
341.095	14.661
341.957	14.678
340.795	14.694
339.32	14.711
339.388	14.728
339.582	14.745
339.395	14.761
340.895	14.778
340.932	14.794
342.395	14.812
342.595	14.827
344.395	14.845
344.857	14.862
346.841	14.877
346.821	14.894
348.494	14.911
348.394	14.926
