#Load(N)	Displacement (mm)
1.3	-0.694
1.4	-0.694
1.9	-0.686
2.3	-0.68
2.4	-0.671
2.7	-0.664
2.8	-0.655
2.9	-0.647
2.8	-0.639
3.1	-0.628
3.2	-0.622
3.3	-0.613
3.3	-0.605
3.3	-0.597
3.3	-0.588
3.4	-0.579
3.72	-0.571
3.762	-0.564
3.8	-0.557
4.2	-0.548
4.287	-0.539
4.3	-0.532
4.3	-0.524
4.407	-0.515
4.7	-0.504
4.7	-0.497
4.8	-0.488
5	-0.479
5.2	-0.472
5.356	-0.465
5.6	-0.455
5.8	-0.446
5.9	-0.439
6.1	-0.432
6.3	-0.422
6.5	-0.414
7	-0.404
8.062	-0.396
8.85	-0.387
9.6	-0.38
10.3	-0.371
11.093	-0.362
11.887	-0.355
12.8	-0.347
13.669	-0.34
14.4	-0.332
15.353	-0.322
16.393	-0.313
16.7	-0.304
17.05	-0.297
17.418	-0.289
18.3	-0.282
18.8	-0.276
19.8	-0.268
21.462	-0.257
22.96	-0.246
23.762	-0.239
24.3	-0.231
25.2	-0.224
26.3	-0.216
27.48	-0.207
29	-0.197
30.2	-0.188
30.75	-0.18
31.893	-0.173
33.231	-0.164
34.446	-0.156
35.999	-0.147
39.024	-0.139
42.293	-0.133
46.287	-0.125
51.299	-0.118
57.099	-0.11
63.199	-0.101
70.599	-0.092
78.699	-0.081
87.449	-0.072
95.248	-0.064
100.365	-0.059
104.455	-0.053
113.918	-0.044
122.473	-0.036
132.61	-0.027
142.298	-0.019
153.398	-0.01
162.931	-0.001
171.747	0.006
180.864	0.015
189.247	0.023
201.441	0.033
215.028	0.044
225.696	0.051
233.196	0.057
238.921	0.063
251.416	0.072
260.671	0.079
274.796	0.09
284.995	0.097
295.562	0.106
305.962	0.114
316.495	0.122
328.661	0.13
337.895	0.137
351.614	0.147
366.863	0.156
381.694	0.163
395.52	0.171
412.293	0.18
428.993	0.188
445.493	0.196
462.053	0.205
480.092	0.213
497.512	0.222
513.592	0.23
529.392	0.237
548.454	0.246
566.241	0.255
583.291	0.263
601.19	0.272
618.49	0.28
634.09	0.287
653.952	0.297
671.289	0.305
686.327	0.312
704.449	0.321
723.157	0.33
741.855	0.339
758.638	0.346
