#Load(N)	Displacement (mm)
0.7	0.032
0.7	0.042
1.1	0.057
1.3	0.074
1.7	0.091
1.9	0.108
2.2	0.123
2.5	0.139
2.8	0.158
3.1	0.174
3.312	0.191
3.7	0.208
3.975	0.224
4.2	0.24
4.4	0.257
4.7	0.274
5.1	0.292
5.2	0.308
5.7	0.324
5.8	0.341
6.131	0.358
6.4	0.374
6.6	0.39
6.9	0.408
7.2	0.424
7.4	0.44
7.8	0.458
8.2	0.475
8.2	0.49
8.4	0.508
8.75	0.521
9.033	0.541
9.2	0.557
9.5	0.573
9.8	0.592
10.2	0.607
10.4	0.623
10.7	0.64
10.8	0.655
11.2	0.675
11.6	0.692
11.7	0.708
12.137	0.724
12.3	0.74
12.6	0.757
12.7	0.773
13.1	0.792
13.2	0.807
13.6	0.825
13.8	0.841
14.1	0.856
14.375	0.872
14.7	0.89
14.937	0.909
15.1	0.924
15.4	0.941
15.7	0.957
16.1	0.975
16.2	0.989
16.4	1.008
16.7	1.024
16.993	1.041
17.2	1.058
17.4	1.073
17.64	1.09
17.9	1.107
18.2	1.125
18.3	1.14
18.7	1.158
18.95	1.171
19.2	1.191
19.5	1.209
19.793	1.224
20.1	1.241
20.2	1.258
20.4	1.273
20.7	1.291
21	1.309
21.287	1.325
21.6	1.341
21.7	1.357
22.1	1.375
22.2	1.391
22.5	1.408
22.7	1.425
23.062	1.442
23.2	1.459
23.5	1.474
23.806	1.492
24.1	1.508
24.2	1.524
24.3	1.541
24.537	1.557
24.781	1.573
25.1	1.591
25.2	1.606
25.6	1.625
25.7	1.639
26.2	1.658
26.3	1.673
26.6	1.692
26.775	1.707
27	1.724
27.2	1.742
27.6	1.757
27.8	1.774
28	1.791
28.2	1.808
28.4	1.824
28.7	1.841
28.986	1.857
29.2	1.875
29.3	1.889
29.7	1.908
29.8	1.924
30.2	1.942
30.393	1.959
30.6	1.974
30.8	1.991
31	2.005
31.2	2.02
31.581	2.041
31.799	2.058
31.999	2.074
32.199	2.092
32.199	2.105
32.499	2.123
32.699	2.139
32.999	2.159
33.199	2.172
33.399	2.189
33.599	2.207
33.818	2.223
33.899	2.236
34.199	2.257
34.599	2.274
34.793	2.29
35.099	2.306
35.199	2.322
35.493	2.341
35.699	2.356
35.899	2.374
36.099	2.39
36.299	2.407
36.599	2.423
36.699	2.441
36.999	2.458
36.399	2.475
35.631	2.491
35.799	2.506
36.099	2.521
36.299	2.54
36.599	2.557
36.699	2.573
36.999	2.591
37.199	2.606
37.287	2.622
37.599	2.638
37.753	2.656
37.966	2.674
38.199	2.692
38.399	2.708
38.599	2.724
38.799	2.738
38.843	2.752
39.199	2.771
39.493	2.792
39.699	2.805
39.973	2.821
40.099	2.836
40.199	2.856
40.199	2.872
40.199	2.89
40.199	2.905
40.666	2.923
40.699	2.938
40.968	2.958
41.199	2.974
41.299	2.99
41.599	3.008
41.799	3.023
41.999	3.039
42.199	3.057
42.299	3.074
42.599	3.09
42.699	3.107
42.899	3.122
43.099	3.139
43.213	3.152
43.499	3.172
43.799	3.192
43.859	3.207
44.099	3.224
44.199	3.238
44.306	3.255
44.687	3.273
44.837	3.291
44.999	3.306
45.199	3.324
45.318	3.34
45.599	3.356
45.699	3.368
45.899	3.387
46.199	3.405
46.326	3.424
46.599	3.442
46.699	3.455
46.899	3.472
47.099	3.488
47.199	3.507
47.318	3.524
47.699	3.541
47.699	3.556
48.099	3.573
48.199	3.588
48.199	3.607
48.299	3.623
48.593	3.64
48.699	3.659
48.799	3.672
49.099	3.69
49.299	3.709
49.399	3.725
49.599	3.741
49.699	3.756
49.749	3.768
50.13	3.79
50.199	3.806
50.299	3.824
50.599	3.841
50.699	3.856
50.699	3.872
50.899	3.888
51.099	3.906
51.199	3.923
51.499	3.942
51.599	3.957
51.799	3.974
51.799	3.987
52.099	4.007
52.199	4.024
52.399	4.041
52.555	4.057
